obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""410.2892""","=""0.0006""","=""410.28991""","=""0.00024""","=""70000""","=""9.7320e+05""",AAA,"=""82259.158""","=""106632.1681""","=""2""","=""""","=""""","=""6""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""""","=""""","=""410.28922""","=""0.00010""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c58""",
"=""""","=""""","=""410.292068748""","=""0.000000008""","=""""","=""5.1450e+06""",AAA,"=""82259.2850014""","=""106632.1665697""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""410.29208""","=""0.00003""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c59""",
"=""""","=""""","=""410.292144772""","=""0.000000022""","=""""","=""8.5748e+05""",AAA,"=""82259.2850014""","=""[106632.1620536]""","=""2p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""410.292350348""","=""0.000000013""","=""""","=""4.9006e+05""",AAA,"=""82259.2850014""","=""106632.1498416""","=""2p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""434.1647191""","=""0.0000004""","=""""","=""7.8548e+06""",AAA,"=""82258.9191133""","=""105291.651993""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""434.16512""","=""0.00011""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c60""",
"=""""","=""""","=""434.1651159""","=""0.0000008""","=""""","=""4.2955e+05""",AAA,"=""82258.9191133""","=""[105291.63094]""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""434.1653824""","=""0.0000008""","=""""","=""4.9483e+06""",AAA,"=""82258.9543992821""","=""105291.65209""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""434.1657811""","=""0.0000008""","=""""","=""""",,"=""82258.9543992821""","=""[105291.63094]""","=""2s""","=""2S""","=""1/2""","=""5s""","=""2S""","=""1/2""",M1,"=""""","=""""",
"=""""","=""""","=""434.1658238""","=""0.0000008""","=""""","=""4.9484e+06""",AAA,"=""82258.9543992821""","=""105291.62867""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""434.16837""","=""0.00011""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c61""",
"=""434.1692""","=""0.0006""","=""434.1691""","=""0.0003""","=""90000""","=""2.5304e+06""",AAA,"=""82259.158""","=""105291.657""","=""2""","=""""","=""""","=""5""","=""""","=""""",,"=""T8637""","=""L7436c29""",
"=""""","=""""","=""434.1714690""","=""0.0000004""","=""""","=""9.4254e+06""",AAA,"=""82259.2850014""","=""[105291.659796]""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""434.17150""","=""0.00004""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c62""",
"=""""","=""""","=""434.1716161""","=""0.0000004""","=""""","=""1.5709e+06""",AAA,"=""82259.2850014""","=""105291.651993""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""""","=""""","=""434.1720130""","=""0.0000008""","=""""","=""8.5920e+05""",AAA,"=""82259.2850014""","=""[105291.63094]""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""""","=""""","=""486.26365622""","=""0.00000019""","=""""","=""1.7188e+07""",AAA,"=""82258.9191133""","=""102823.894250""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
"=""486.264130267""","=""0.000000019""","=""486.264130279""","=""0.000000019""","=""""","=""""",,"=""82258.9543992821""","=""102823.9094871""","=""2s""","=""2S""","=""1/2""","=""4d""","=""2D""","=""5/2""",E2,"=""""","=""L9496""",
"=""""","=""""","=""486.26420""","=""0.00014""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c63""",
"=""486.264488953""","=""0.000000008""","=""486.264488968""","=""0.000000007""","=""""","=""9.6680e+06""",AAA,"=""82258.9543992821""","=""102823.8943175""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""L9477""",
"=""""","=""""","=""486.264631087""","=""0.000000009""","=""""","=""8.5941e+05""",AAA,"=""82258.9191133""","=""102823.8530211""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
"=""486.265465422""","=""0.000000008""","=""486.265465437""","=""0.000000007""","=""""","=""""",,"=""82258.9543992821""","=""102823.8530211""","=""2s""","=""2S""","=""1/2""","=""4s""","=""2S""","=""1/2""",M1,"=""""","=""L9496""",
"=""486.265570377""","=""0.000000012""","=""486.265570389""","=""0.000000012""","=""""","=""9.6682e+06""",AAA,"=""82258.9543992821""","=""102823.8485825""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""L9477""",
"=""""","=""""","=""486.26830""","=""0.00014""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c64""",
"=""486.271""","=""0.005""","=""486.2691""","=""0.0003""","=""180000""","=""8.4193e+06""",AAA,"=""82259.158""","=""102823.904""","=""2""","=""""","=""""","=""4""","=""""","=""""",,"=""T8637""","=""L7439c30""",
"=""""","=""""","=""486.271947584""","=""0.000000024""","=""""","=""2.0625e+07""",AAA,"=""82259.2850014""","=""102823.9094871""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
"=""""","=""""","=""486.27202""","=""0.00005""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c65""",
